date,actual_return,actual_close,pred_return,pred_close,ci_lower_80,ci_upper_80,direction_prob,direction_pred,direction_actual,residual_std
2024-03-12,0.031619384224554015,24.958999633789062,0.0017124610021710396,24.2354,23.7031,24.7678,0.5397,up,up,0.017169
2024-03-13,-0.00340554852837871,24.874000549316406,0.00050164177082479,24.9715,24.4225,25.5206,0.5117,up,down,0.017165
2024-03-14,0.013106062813527108,25.200000762939453,-0.0010530510917305946,24.8478,24.3015,25.3941,0.4755,down,up,0.017137
2024-03-15,-0.004325442713012606,25.090999603271484,-0.00044876537867821753,25.1887,24.6351,25.7423,0.4896,down,down,0.017142
2024-03-18,-0.005061532157954685,24.964000701904297,-0.000621637562289834,25.0754,24.5246,25.6262,0.4855,down,down,0.017128
2024-03-19,-0.001241793641142519,24.933000564575195,-0.001132336212322116,24.9357,24.3886,25.4828,0.4736,down,down,0.0171
2024-03-20,-0.003369014233626122,24.849000930786133,-0.0001959669461939484,24.9281,24.3811,25.4751,0.4954,down,down,0.017118
2024-03-21,-0.006318221637909627,24.691999435424805,-0.001371640944853425,24.8149,24.2709,25.3589,0.468,down,down,0.017082
2024-03-22,0.002146501094300035,24.7450008392334,-0.0008907489245757461,24.67,24.13,25.21,0.4792,down,up,0.017065
2024-03-25,-0.01058803914778017,24.482999801635742,-0.0013734714593738317,24.711,24.1703,25.2517,0.4679,down,down,0.017051
2024-03-26,0.00579995096657937,24.625,-0.0013536172918975353,24.4499,23.9151,24.9846,0.4683,down,up,0.017043
2024-03-27,0.006984807513086944,24.797000885009766,-0.0010506678372621536,24.5991,24.0617,25.1365,0.4754,down,up,0.017029
2024-03-28,0.0063313942174194615,24.95400047302246,-0.0013647670857608318,24.7632,24.2228,25.3035,0.468,down,up,0.017004
2024-04-01,0.03406268996382589,25.804000854492188,-0.0009248168207705021,24.9309,24.3868,25.475,0.4783,down,up,0.017013
2024-04-02,0.044217904299650446,26.94499969482422,-0.0011895464267581701,25.7733,25.2089,26.3378,0.4722,down,up,0.017068
2024-04-03,0.0072369529423923495,27.139999389648438,-0.00024380398099310696,26.9384,26.3455,27.5313,0.4943,down,up,0.017169
2024-04-04,0.00957996443363962,27.399999618530273,-0.0004365170025266707,27.1282,26.531,27.7253,0.4899,down,up,0.017167
2024-04-05,0.011386871496421591,27.711999893188477,-0.0005689274985343218,27.3844,26.7831,27.9857,0.4867,down,up,0.017124
2024-04-08,0.006459326471641047,27.891000747680664,-0.000381386635126546,27.7014,27.0931,28.3098,0.4911,down,up,0.017129
2024-04-09,0.002509759167750092,27.961000442504883,-0.00027278141351416707,27.8834,27.2714,28.4954,0.4936,down,up,0.017122
2024-04-10,0.007689286834710707,28.176000595092773,-0.0004913891316391528,27.9473,27.3335,28.561,0.4886,down,up,0.017127
2024-04-11,0.002803753691273947,28.2549991607666,-0.00019676520605571568,28.1705,27.5526,28.7884,0.4954,down,up,0.017111
2024-04-12,0.0140152157214406,28.650999069213867,-0.0004762984171975404,28.2415,27.6222,28.8608,0.4889,down,up,0.017102
2024-04-15,-0.011622571169416895,28.31800079345703,0.00014881962852086872,28.6553,28.0269,29.2836,0.5035,up,down,0.017112
2024-04-16,0.0009887660549878774,28.34600067138672,-0.000509201898239553,28.3036,27.6834,28.9237,0.4881,down,up,0.017088
2024-04-17,-0.0005997388683270932,28.32900047302246,-0.0001491387956775725,28.3418,27.7212,28.9624,0.4965,down,down,0.017083
2024-04-18,0.016908471303422212,28.808000564575195,-0.0006320312386378646,28.3111,27.6917,28.9304,0.4852,down,up,0.017059
2024-04-19,-0.05536660613178679,27.21299934387207,0.00019088495173491538,28.8135,28.1838,29.4432,0.5045,up,down,0.017057
2024-04-22,0.004336164089319583,27.33099937438965,-0.00011761327914427966,27.2098,26.6095,27.8101,0.4973,down,up,0.017212
2024-04-23,-0.0002561183140994405,27.323999404907227,0.0004467508988454938,27.3432,26.7416,27.9449,0.5104,up,down,0.017177
2024-04-24,0.0006587486985751845,27.341999053955078,9.374249202664942e-06,27.3243,26.7228,27.9257,0.5002,up,up,0.017175
2024-04-25,-0.0036939446875853266,27.240999221801758,0.0007669866899959743,27.363,26.7621,27.9639,0.5178,up,down,0.017148
2024-04-26,0.004845636109294338,27.37299919128418,-0.00012171646085334942,27.2377,26.6388,27.8366,0.4972,down,up,0.017154
2024-04-29,-0.03587471130734532,26.391000747680664,0.00067468686029315,27.3915,26.7907,27.9922,0.5157,up,down,0.017125
2024-04-30,0.003713370845268793,26.48900032043457,-0.0003541108453646302,26.3817,25.8012,26.9621,0.4918,down,up,0.017163
2024-05-01,0.003548637605564231,26.58300018310547,-0.00033413831260986626,26.4801,25.8973,27.063,0.4922,down,up,0.017168
2024-05-02,-0.0051913059974680875,26.44499969482422,-1.3039592886343598e-05,26.5827,25.9991,27.1662,0.4997,down,down,0.017129
2024-05-03,0.034940434752880556,27.368999481201172,-4.284270107746124e-05,26.4439,25.864,27.0238,0.499,down,up,0.01711
2024-05-06,-0.002411486937494489,27.30299949645996,-0.0003808935871347785,27.3586,26.7564,27.9607,0.4911,down,down,0.017167
2024-05-07,0.00212432940134355,27.361000061035156,5.598550706054084e-05,27.3045,26.7045,27.9046,0.5013,up,up,0.017148
2024-05-08,0.0281787912257363,28.131999969482422,-7.361133611993864e-05,27.359,26.7582,27.9597,0.4983,down,up,0.017132
2024-05-09,0.005083166827917651,28.274999618530273,0.0005556970136240125,28.1476,27.5302,28.7651,0.5129,up,up,0.017127
2024-05-10,-0.0019097771130708319,28.22100067138672,-0.00022281869314610958,28.2687,27.6483,28.8891,0.4948,down,down,0.01712
